[0.1655, 0.5276]
[0.1653, 0.5191]
[0.1651, 0.5107]
[0.1648, 0.5023]
[0.1646, 0.4917]
[0.1644, 0.4856]
[0.1641, 0.4752]
[0.1639, 0.4671]
[0.1637, 0.4589]
[0.1635, 0.451]
[0.1635, 0.4489]
[0.1633, 0.4431]
[0.1631, 0.4354]
[0.1627, 0.4201]
[0.1625, 0.4126]
[0.1624, 0.4071]
[0.1622, 0.3999]
[0.162, 0.3927]
[0.1619, 0.3875]
[0.1617, 0.3806]
[0.1615, 0.3755]
[0.1614, 0.3688]
[0.1612, 0.3638]
[0.1611, 0.3574]
[0.1609, 0.3527]
[0.1608, 0.3464]
[0.161, 0.3417]
[0.162, 0.3417]
[0.1627, 0.3416]
[0.1638, 0.3415]
[0.1657, 0.3414]
[0.1679, 0.3412]
[0.1692, 0.3411]
[0.1701, 0.341]
[0.1716, 0.3409]
[0.1725, 0.3408]
[0.1741, 0.3407]
[0.1751, 0.3406]
[0.1767, 0.3405]
[0.1796, 0.3403]
[0.1807, 0.3402]
[0.1778, 0.3404]
[0.1716, 0.3409]
[0.1725, 0.3408]
[0.1741, 0.3407]
[0.1751, 0.3406]
[0.1767, 0.3405]
[0.1778, 0.3404]
[0.1796, 0.3403]
[0.1767, 0.3405]
[0.1778, 0.3404]
[0.1857, 0.3398]
[0.1876, 0.3397]
[0.1889, 0.3395]
[0.1909, 0.3394]
[0.1959, 0.339]
[0.1981, 0.3388]
[0.2003, 0.3387]
[0.2018, 0.3385]
[0.2041, 0.3384]
[0.2057, 0.3382]
[0.2081, 0.338]
[0.2097, 0.3379]
[0.2122, 0.3377]
[0.2138, 0.3376]
[0.2164, 0.3374]
[0.2181, 0.3373]
[0.2207, 0.3371]
[0.2233, 0.3368]
[0.237, 0.3358]
[0.2342, 0.336]
[0.237, 0.3358]
[0.2388, 0.3356]
[0.2417, 0.3354]
[0.2446, 0.3352]
[0.2465, 0.335]
[0.2494, 0.3348]
[0.2514, 0.3346]
[0.2543, 0.3344]
[0.2548, 0.3318]
[0.2529, 0.3269]
[0.2534, 0.3243]
[0.2541, 0.3204]
[0.2523, 0.3192]
[0.2528, 0.3166]
[0.2535, 0.3127]
[0.254, 0.31]
[0.2545, 0.3074]
[0.2519, 0.3048]
[0.2526, 0.3009]
[0.251, 0.2982]
[0.2517, 0.2942]
[0.2524, 0.2902]
[0.2529, 0.2876]
[0.2502, 0.2848]
[0.2507, 0.2821]
[0.2511, 0.2795]
[0.2513, 0.2781]
[0.2518, 0.2755]
[0.2495, 0.2699]
[0.2501, 0.2659]
[0.2486, 0.2617]
[0.2492, 0.2577]
[0.2494, 0.2564]
[0.2501, 0.2524]
[0.2476, 0.2467]
[0.248, 0.244]
[0.2482, 0.2427]
[0.2464, 0.2398]
[0.2468, 0.2371]
[0.2473, 0.2332]
[0.2449, 0.2261]
[0.2455, 0.2222]
[0.2439, 0.2166]
[0.2443, 0.214]
[0.2448, 0.2102]
[0.2443, 0.2049]
[0.2412, 0.2017]
[0.2435, 0.2021]
[0.2406, 0.1976]
[0.241, 0.1939]
[0.2395, 0.1872]
[0.2398, 0.1848]
[0.2402, 0.1812]
[0.2393, 0.1785]
[0.2397, 0.175]
[0.2377, 0.172]
[0.2381, 0.1686]
[0.236, 0.1656]
[0.2364, 0.1623]
[0.2344, 0.1583]
[0.2346, 0.1561]
[0.2326, 0.1521]
[0.2349, 0.1529]
[0.2343, 0.1473]
[0.2308, 0.1461]
[0.2287, 0.1433]
[0.2266, 0.1395]
[0.2245, 0.1367]
[0.2224, 0.1329]
[0.2204, 0.1292]
[0.2182, 0.1265]
[0.2196, 0.1241]
[0.2141, 0.1202]
[0.212, 0.1167]
[0.2099, 0.1141]
[0.2079, 0.1107]
[0.2058, 0.1082]
